               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.031315,            0.010533,           0.0021606,             0.74097,                 0.7,             0.58548,             0.28817,            0.061963,            0.019257,            0.023404,           0.0033175,           0.0033175,           0.0033175
                  83,            0.028493,            0.009693,           0.0021296,             0.74571,                 0.7,             0.58538,             0.28002,            0.059766,             0.01925,            0.023428,            0.003235,            0.003235,            0.003235
                  84,            0.028778,           0.0096115,           0.0021879,             0.74538,                 0.7,              0.5854,             0.33885,            0.055076,            0.019183,            0.023584,           0.0031525,           0.0031525,           0.0031525
                  85,            0.028222,           0.0095134,            0.002259,             0.70284,                 0.7,             0.58543,             0.31966,             0.05817,            0.019223,            0.023209,             0.00307,             0.00307,             0.00307
                  86,             0.02962,           0.0094745,           0.0021233,             0.75889,                 0.7,              0.5855,             0.29818,            0.055281,            0.019492,            0.023062,           0.0029875,           0.0029875,           0.0029875
                  87,            0.029484,           0.0099661,           0.0021663,             0.77235,                 0.7,             0.58557,             0.29384,            0.056332,            0.019326,            0.022882,            0.002905,            0.002905,            0.002905
                  88,            0.026023,           0.0097764,           0.0022111,             0.77049,                 0.7,             0.59199,              0.3025,            0.057893,            0.019344,            0.022833,           0.0028225,           0.0028225,           0.0028225
                  89,            0.025678,           0.0087193,           0.0019368,             0.77249,                 0.7,             0.58726,             0.31569,            0.055364,            0.019237,            0.022833,             0.00274,             0.00274,             0.00274
                  90,            0.028715,           0.0086824,           0.0021445,             0.76885,                 0.7,             0.59203,              0.2983,            0.059337,            0.019328,            0.022693,           0.0026575,           0.0026575,           0.0026575
                  91,            0.025357,            0.010344,           0.0021883,             0.75708,                 0.7,             0.59543,             0.35511,            0.058301,            0.019403,            0.022882,            0.002575,            0.002575,            0.002575
                  92,            0.026432,           0.0086552,           0.0019611,             0.72566,                 0.7,             0.59554,             0.37043,            0.054246,              0.0195,            0.022934,           0.0024925,           0.0024925,           0.0024925
                  93,            0.024562,           0.0087539,           0.0022628,             0.69273,                 0.7,             0.59562,             0.31746,            0.057394,            0.019737,            0.022772,             0.00241,             0.00241,             0.00241
                  94,            0.025411,           0.0090155,           0.0019944,             0.69273,                 0.7,             0.59067,              0.3097,            0.055919,            0.019811,            0.022791,           0.0023275,           0.0023275,           0.0023275
                  95,            0.024963,           0.0083411,           0.0018736,             0.69461,                 0.7,             0.59569,             0.36614,            0.054998,            0.019526,            0.022803,            0.002245,            0.002245,            0.002245
                  96,            0.025061,           0.0090713,           0.0017898,             0.69674,                 0.7,             0.59745,             0.33299,            0.058601,            0.019486,            0.022989,           0.0021625,           0.0021625,           0.0021625
                  97,            0.027074,           0.0092846,            0.001978,             0.70416,                 0.7,             0.59906,             0.36908,            0.055566,            0.019447,            0.023001,             0.00208,             0.00208,             0.00208
                  98,             0.02574,           0.0088902,           0.0019779,             0.70288,                 0.7,             0.60063,             0.36526,            0.056265,            0.019408,            0.023251,           0.0019975,           0.0019975,           0.0019975
                  99,            0.022936,            0.008795,           0.0019074,             0.70157,                 0.7,             0.59894,             0.40409,            0.054858,            0.019228,            0.023425,            0.001915,            0.001915,            0.001915
                 100,            0.024597,            0.008897,           0.0017683,             0.71262,                 0.7,             0.60209,             0.39338,             0.05404,            0.019162,            0.023276,           0.0018325,           0.0018325,           0.0018325
                 101,            0.023388,           0.0093631,           0.0017933,             0.72066,                 0.7,              0.6021,             0.34871,            0.056595,            0.019218,            0.023325,             0.00175,             0.00175,             0.00175
                 102,            0.023562,           0.0092588,           0.0018192,             0.73104,                 0.7,             0.60542,             0.39133,            0.054079,            0.019208,            0.023471,           0.0016675,           0.0016675,           0.0016675
                 103,            0.025476,           0.0083892,           0.0016895,             0.75123,                 0.7,             0.60726,             0.37551,            0.054708,            0.019112,            0.023605,            0.001585,            0.001585,            0.001585
                 104,            0.021458,           0.0089099,           0.0015981,             0.74667,                 0.7,             0.60735,             0.37715,            0.056689,            0.019179,            0.023782,           0.0015025,           0.0015025,           0.0015025
                 105,            0.022129,           0.0093122,           0.0016752,             0.74737,                 0.7,             0.60732,             0.37802,            0.054464,            0.019183,            0.023941,             0.00142,             0.00142,             0.00142
                 106,            0.021937,            0.009024,           0.0015474,             0.74117,                 0.7,             0.61233,             0.36415,            0.055356,            0.019221,            0.024088,           0.0013375,           0.0013375,           0.0013375
                 107,            0.022432,           0.0085472,           0.0016396,             0.73362,                 0.7,             0.61388,              0.3889,            0.053866,            0.019131,             0.02431,            0.001255,            0.001255,            0.001255
                 108,            0.020136,           0.0076448,           0.0015917,              0.7265,                 0.7,             0.61236,             0.39479,             0.05325,            0.019145,            0.024451,           0.0011725,           0.0011725,           0.0011725
                 109,            0.021242,           0.0076808,           0.0018211,             0.72812,                 0.7,             0.61227,             0.39108,            0.054355,             0.01917,            0.024438,             0.00109,             0.00109,             0.00109
                 110,            0.020768,           0.0082549,           0.0013978,             0.72414,                 0.7,              0.6075,             0.38086,            0.053599,            0.019279,            0.024451,           0.0010075,           0.0010075,           0.0010075
                 111,            0.021019,           0.0095352,           0.0017218,             0.72115,                 0.7,             0.60757,             0.38082,            0.055603,            0.019386,            0.024347,            0.000925,            0.000925,            0.000925
                 112,              0.0206,           0.0083622,           0.0014988,             0.72327,                 0.7,             0.60265,             0.38128,            0.054369,            0.019379,            0.024374,           0.0008425,           0.0008425,           0.0008425
                 113,            0.020674,           0.0086291,           0.0014876,             0.72422,                 0.7,             0.60264,             0.37499,            0.054655,            0.019379,            0.024356,             0.00076,             0.00076,             0.00076
                 114,            0.021097,           0.0095678,           0.0015479,             0.71967,                 0.7,             0.60268,             0.37801,            0.054291,            0.019342,            0.024384,           0.0006775,           0.0006775,           0.0006775
                 115,            0.019482,           0.0082556,           0.0014763,             0.72127,                 0.7,             0.60418,             0.38769,            0.054665,            0.019273,            0.024377,            0.000595,            0.000595,            0.000595
                 116,            0.020031,           0.0079263,           0.0013611,             0.72169,                 0.7,             0.60266,             0.38017,            0.054395,            0.019316,            0.024396,           0.0005125,           0.0005125,           0.0005125
                 117,            0.019944,            0.008183,           0.0015826,             0.72093,                 0.7,             0.60401,             0.38068,            0.054182,             0.01937,            0.024481,             0.00043,             0.00043,             0.00043
                 118,            0.018966,           0.0081962,           0.0013792,             0.72134,                 0.7,             0.60403,             0.38525,            0.054021,             0.01937,            0.024536,           0.0003475,           0.0003475,           0.0003475
                 119,            0.020543,           0.0083912,           0.0013658,             0.72151,                 0.7,             0.60746,             0.38181,            0.054068,            0.019336,            0.024643,            0.000265,            0.000265,            0.000265
